Date,ADANIENT.NS,ASIANPAINT.NS,BAJFINANCE.NS,HDFCBANK.NS,INFY.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,^NSEI
2019-01-02,152.93605041503906,1306.105224609375,255.0285186767578,499.79022216796875,556.7772216796875,6808.7119140625,93.82315063476562,491.99822998046875,408.7942199707031,1599.2120361328125,10792.5
2019-01-03,150.61509704589844,1310.8262939453125,252.31146240234375,495.8689880371094,556.8604736328125,6748.84912109375,90.85626220703125,485.92828369140625,405.124755859375,1579.79638671875,10672.25
2019-01-04,150.66444396972656,1308.5128173828125,251.3212432861328,497.1955871582031,550.1196899414062,6777.46875,92.96179962158203,488.5519104003906,402.9881591796875,1560.5888671875,10727.349609375
2019-01-07,149.38052368164062,1318.0965576171875,249.13101196289062,497.94696044921875,558.982421875,6896.96044921875,94.33357238769531,491.2645263671875,400.20123291015625,1578.0916748046875,10771.7998046875
2019-01-08,151.55332946777344,1323.0533447265625,247.51638793945312,493.8026428222656,557.6093139648438,6969.51806640625,94.07837677001953,491.2200012207031,416.2259826660156,1574.4744873046875,10802.150390625
2019-01-09,147.5040283203125,1323.761474609375,246.27732849121094,497.04296875,562.6441650390625,7019.54443359375,92.70657348632812,493.9326171875,416.87628173828125,1568.9869384765625,10855.150390625
2019-01-10,149.23239135742188,1318.4267578125,245.33099365234375,495.0940856933594,565.6400146484375,6924.64453125,91.39862823486328,492.4873962402344,413.02105712890625,1570.3175048828125,10821.599609375
2019-01-11,149.62744140625,1325.319580078125,245.287109375,495.8924255371094,568.8024291992188,6858.03662109375,92.29185485839844,488.2850646972656,412.8352355957031,1532.0684814453125,10794.9501953125
2019-01-14,146.5164031982422,1311.109619140625,248.2724609375,493.485595703125,584.1148071289062,6940.6640625,91.52619934082031,487.7292785644531,418.82708740234375,1507.7060546875,10737.599609375
2019-01-15,146.81265258789062,1327.4912109375,254.0675506591797,498.2404479980469,604.669677734375,6890.49755859375,92.61088562011719,502.3371276855469,420.3134460449219,1553.0643310546875,10886.7998046875
